Input point mass balance file. Row 1 are headers of each column. Column 1 is mass balance year. Column 2 is site name. Column 3 is the date (mm/mm/yyyy) of spring observations.
Column 4 is the date (mm/dd/yyyy) of fall observations. Column 5 is the site elevation (HAE). Column 6 is the specific winter mass balance in combined time system (Mayo and others, 1972).
Column 7 is the specific annual balance in combine time system. Column 8 is the amount of addditional observed ablation between fall and spring visits. Column 9 is the amount of snow which fell between spring and fall visits.
Column 10 is the temperature(C) of the previous summers surface measured in the spring. All mass balance observations are in meters water equivalent mass. If a observation was not made enter NaN.
Final input file must begin with row 1 as seen in the example below.

bal_year	site_name	date_1	date_2	z	winter	net	winter_ablation(-)	summer_accumulation(+)	spring_ss_temp
2001	C	5/17/2001	NaN	1304	4.36	1.96	0	0	-2.6
2002	A	5/17/2002	10/2/2002	580	1.04	-4.92	0	0	0
2002	B	5/14/2002	10/3/2002	1074	2.07	-1.74	0	0	0
2002	C	5/16/2002	10/2/2002	1303	3.23	1.21	0	0.07	-2.7
2003	A	5/28/2003	9/11/2003	574	0.53	-5.81	-0.53	0	0
2003	B	5/30/2003	9/11/2003	1073	1.57	-1.72	NaN	0	NaN
2003	C	5/29/2003	9/14/2003	1302	2.77	1.97	0	0	-2.5
2004	LA	5/11/2004	9/14/2004	453	0.6	-7.12	NaN	0	0
2004	A	5/11/2004	9/14/2004	568	1.04	-6.41	-0.57	0	0
2004	B	5/12/2004	9/14/2004	1071	1.66	-2.91	-0.39	0	0
2004	C	5/12/2004	9/14/2004	1301	2.66	-0.51	NaN	0	-0.8
2005	LA	5/11/2005	9/30/2005	448	0.22	NaN	-0.23	0	0
2005	A	5/11/2005	9/24/2005	562	0.79	-7.27	-0.33	0	0
2005	B	5/14/2005	9/21/2005	1070	1.82	-2.66	-0.77	0	0
2005	C	5/14/2005	9/21/2005	1301	2.5	0.24	NaN	NaN	NaN
2006	A	5/11/2006	9/24/2006	557	1.41	-4.69	-0.05	0	0
2006	B	5/13/2006	9/23/2006	1068	2.41	-1.12	-0.36	0	-0.6
2006	C	5/14/2006	9/24/2006	1300	3.54	0.7	0	0	-2.7
2007	A	5/11/2007	9/17/2007	551	0.73	-5.86	-0.39	0	0
2007	B	5/10/2007	9/17/2007	1066	1.55	-1.81	-0.18	0	NaN
2007	C	5/10/2007	9/17/2007	1299	2.6	0.92	NaN	0	-2.7
2008	A	5/17/2008	9/28/2008	545	2.3	-2.81	-0.47	NaN	0
2008	B	5/18/2008	9/28/2008	1065	2.58	0.03	NaN	0.09	-1.1
2008	C	5/18/2008	9/28/2008	1299	4.66	2.9	NaN	0.11	-2.7
2009	A	4/28/2009	9/19/2009	541	0.91	-6.11	NaN	0	0
2009	B	4/27/2009	9/21/2009	1066	1.22	-2.97	0	0	-2.8
2009	C	4/28/2009	9/19/2009	1298	1.91	-0.26	0	0	-4
2009	Y	4/1/2009	9/19/2009	1372	NaN	0.75	NaN	0	NaN
2010	AU	5/6/2010	9/14/2010	638	0.68	-4.47	-0.41	0	NaN
2010	B	5/4/2010	9/14/2010	1067	2.21	-0.47	NaN	0	NaN
2010	C	5/5/2010	9/13/2010	1298	3.29	1.61	NaN	0	NaN
2010	Y	4/1/2010	9/30/2010	1373	NaN	NaN	NaN	0	NaN
2011	AU	4/28/2011	9/21/2011	637	-0.28	-6.62	-0.86	0	NaN
2011	P	4/28/2011	9/21/2011	995	NaN	NaN	NaN	0	Nan
2011	B	4/28/2011	9/22/2011	1068	1	-2.33	-0.16	0	NaN
2011	C	4/27/2011	9/22/2011	1297	2.1	0.85	0	0.85	NaN
2011	Y	4/27/2011	9/23/2011	1373	2.74	1.43	0	0.96	NaN
2012	AU	4/25/2012	9/15/2012	632	0.86	-4.12	-0.31	0	NaN
2012	P	4/26/2012	9/14/2012	995	1.48	-1.05	-0.18	0	Nan
2012	B	4/23/2012	9/13/2012	1067	1.78	-0.22	-0.04	0	NaN
2012	S	4/23/2012	9/14/2012	1237	NaN	NaN	NaN	0.06	NaN
2012	C	4/24/2012	9/30/2012	1296	2.25	2.27	0	0.37	NaN
2012	T	4/24/2012	9/30/2012	1371	NaN	NaN	NaN	0.34	NaN
2012	Y	4/24/2012	9/29/2012	1372	3.33	3.3	0	0.54	NaN
2013	AU	5/8/2013	8/28/2013	628	-0.02	-5.91	-0.68	0	NaN
2013	P	5/10/2013	11/6/2013	993	0.92	-3.8	-0.03	0	NaN
2013	N	5/8/2013	8/28/2013	1006	0.91	-3.09	-0.02	0	NaN
